,f,$(En)diff_{ab}$,$Fi_b$,$(En)diff_{cb}$,LUMO_character,LUMO_element,$Ce_a$,$R_b$,$D_b$,$Dp_b$,$Dp_a$,$o$,$(En)diff_{ca}$,0
167,0,0.3899999999999999,577.5,0.9399999999999996,2,34,0.67,0.54,2.7,57.8,33.91,0.2727272727272727,0.5499999999999998,0
168,0,1.36,770.0,1.08,3,74,1.84,0.7479,19.3,68.0,160.8,0.5342142857142858,2.44,1
169,2,0.4399999999999999,596.7,1.2999999999999998,2,34,1.16,0.88,9.32,144.0,46.0,0.4444444444444445,0.8599999999999999,1
170,-9,0.7399999999999998,834.0,1.39,2,51,1.51,0.76,6.69,43.0,71.2,0.5428571428571429,2.13,0
171,0,0.8799999999999999,760.4,0.7000000000000002,2,16,1.84,0.61,8.86,55.0,160.8,0.3315217391304347,1.58,0
172,0,0.0799999999999998,650.9,1.81,3,25,2.92,0.64,6.11,87.0,68.0,0.4571428571428572,1.89,0
173,-2,0.8699999999999999,652.9,0.9200000000000002,3,24,0.804,0.585,7.15,83.0,400.9,0.3179347826086956,1.79,0
174,0,0.1699999999999999,762.5,1.61,3,26,0.67,0.65,7.87,62.0,33.91,0.4642857142857143,1.44,0
175,0,0.0799999999999998,737.1,1.53,3,26,4.28,0.6,8.91,49.0,62.0,0.4285714285714286,1.61,0
176,0,0.3599999999999999,717.3,1.89,3,25,4.44,0.65,7.44,68.0,49.0,0.4642857142857143,1.53,0
177,2,0.5899999999999999,737.7,2.13,2,8,4.63,0.72,1.74,71.2,37.3,0.5142857142857143,1.54,1
178,1,0.47,600.0,1.36,1,48,1.16,0.9,4.47,162.0,46.0,0.4891304347826087,0.8900000000000001,1
179,1,0.2199999999999999,600.0,2.22,1,39,1.84,0.9,4.47,162.0,160.8,0.6428571428571429,2.44,0
180,0,0.27,867.8,1.75,2,8,3.14,0.95,8.69,46.0,53.0,0.6785714285714286,1.48,0
181,2,0.2099999999999999,603.4,1.48,2,16,1.51,0.87,6.97,139.0,71.2,0.4728260869565217,1.27,0
182,2,0.4499999999999999,603.4,1.48,2,16,2.92,0.87,6.97,139.0,68.0,0.4728260869565217,1.03,0
183,-1,0.3400000000000001,652.9,0.8899999999999999,3,24,0.67,0.62,7.15,83.0,33.91,0.3131313131313131,0.5499999999999998,0
