,Material,Chemical_formula,Band_gap_HSE,Direct_or_indirect_HSE,Band_gap_GGA,Space_group_cif,Free_energy
10776,In3Sr5,Sr5In3,0.0,Indirect,0.0,140.0,-2.320309415
10777,In4K1,In4K,0.0,Indirect,0.0,139.0,-2.380212464
10778,In4Li5,In4Li5,0.0,Indirect,0.0,164.0,-2.4729789044444
10779,In4Rb1,RbIn4,0.0,Indirect,0.0,139.0,-2.356656244
10780,In4Se3,In4Se3,0.525258,Direct,0.175435,58.0,-3.3951397060714
10781,In4Ti3,In4Ti3,0.0,Indirect,0.0,127.0,-4.8207129314286
10782,In6S7,In6S7,0.724926,Direct,0.194538,11.0,-3.9168604019231
10783,Ir1Mo3,IrMo3,0.0,Indirect,0.0,223.0,-10.5313566225
10784,Ir1Nb1,IrNb,0.0,Indirect,0.0,123.0,-9.977425275
10785,Ir1Nb3,IrNb3,0.0,Indirect,0.0,223.0,-10.18038332125
10786,Ir1S2,IrS2,1.091368,Indirect,0.503701,62.0,-6.0955187754167
10787,Ir1Si1,IrSi,0.0,Indirect,0.0,62.0,-7.811713795
10788,Ir1Sn4,IrSn4,0.0,Indirect,0.0,142.0,-5.036391603
10789,Ir1Ti1,IrTi,0.0,Indirect,0.0,221.0,-9.05691625
10790,Ir1V1,IrV,0.0,Indirect,0.0,65.0,-9.4224015175
10791,Ir1Zr1,IrZr,0.0,Indirect,0.0,221.0,-9.457572
10792,Ir1Zr2,IrZr2,0.0,Indirect,0.0,140.0,-9.31391496
10793,Ir1Zr2,Zr2Ir,0.0,Indirect,0.0,227.0,-9.27121219625
10794,Ir2La3,La3Ir2,0.0,Indirect,0.0,148.0,-7.141699116
10795,Ir2Lu5,Ir2Lu5,0.0,Indirect,0.0,15.0,-6.4358670142857
10796,Ir2S3,Ir2S3,1.727784,Indirect,0.809658,60.0,-6.3652659485
10797,Ir2Si1,Ir2Si,0.0,Indirect,0.0,62.0,-8.1663641458333
10798,Ir3La7,La7Ir3,0.0,Indirect,0.0,186.0,-6.6555295825
10799,Ir3Ti1,Ir3Ti,0.0,Indirect,0.0,221.0,-9.29208874
10800,Ir3W1,Ir3W,0.0,Indirect,0.0,194.0,-10.245228005
10801,K1Si1,KSi,1.678455,Indirect,1.123147,142.0,-3.2660464859375
10802,Ir4Sc11,Ir4Sc11,0.0,Indirect,0.0,225.0,-7.628575216
10803,Ir7La2,Ir7La2,0.0,Indirect,0.0,194.0,-8.4294466041667
10804,K1Tl1,KTl,0.0,Indirect,0.0,64.0,-1.76210498375
10805,K2Se1,K2Se,2.96237,Indirect,2.095113,225.0,-2.9458042133333
10806,K2Te1,K2Te,2.856831,Indirect,2.116617,225.0,-2.75647411
10807,La1Os2,LaOs2,0.0,Indirect,0.0,227.0,-9.1532599383333
10808,La1Pt1,LaPt,0.0,Indirect,0.0,63.0,-6.67296749
10809,La1Pt5,LaPt5,0.0,Indirect,0.0,191.0,-6.65892894
10810,La1Ru2,LaRu2,0.0,Indirect,0.0,227.0,-7.88354415
10811,La1S2,LaS2,0.0,Indirect,0.0,129.0,-6.1533349933333
10812,La1S2,LaS2,1.267197,Indirect,0.597909,14.0,-6.2473896491667
10813,La1Si10,LaSi10,0.0,Indirect,0.0,194.0,-5.3465404204545
10814,La1Zn2,LaZn2,0.0,Indirect,0.0,74.0,-2.7475073666667
10815,La2Ni3,La2Ni3,0.0,Indirect,0.0,64.0,-5.570974067
10816,La3Ni1,La3Ni,0.0,Indirect,0.0,62.0,-5.223776911875
10817,La3Os1,La3Os,0.0,Indirect,0.0,62.0,-6.622580073125
10818,La3Rh2,La3Rh2,0.0,Indirect,0.0,148.0,-6.4825680913333
10819,La3Ru1,La3Ru,0.0,Indirect,0.0,62.0,-6.17989689875
10820,La3Si2,La3Si2,0.0,Indirect,0.0,127.0,-5.731152337
10821,La3Sn4,La3Sn4,0.0,Indirect,0.0,63.0,-5.0453759078571
10822,La3Sn5,La3Sn5,0.0,Indirect,0.0,63.0,-4.95701709375
10823,La3Tl1,La3Tl,0.0,Indirect,0.0,221.0,-4.44464741
10824,La3Tl5,La3Tl5,0.0,Indirect,0.0,63.0,-3.6335636175
