,Material,Chemical_formula,Band_gap_HSE,Direct_or_indirect_HSE,Band_gap_GGA,Space_group_cif,Free_energy
0,Ge1Se8V4,Ge(V4Se8),0.0,Indirect,0.0,44.0,-5.8971755257692
1,Cu2Ge1Se3,Cu2(GeSe3),0.357144,Indirect,0.057361,9.0,-3.5749097316667
2,Cl4Co1Na2,Na2(CoCl4),4.477341,Direct,2.780673,62.0,-3.5675379625
3,Cr1Na1Se2,NaCrSe2,1.138949,Indirect,0.407413,166.0,-4.7522459725
4,Al2Fe3Si4,AlFe1.50Si2,0.0,Indirect,0.0,63.0,-6.4207033055556
5,B1La1Ni4,LaNi4B,0.0,Indirect,0.0,191.0,-6.000871835
6,Al1Cu1S2,CuAlS2,3.038984,Direct,2.16183,122.0,-4.44867706125
7,Cs1In1Se2,CsInSe2,2.522587,Indirect,1.610933,15.0,-3.5605545328125
8,Co1Cs1O2,CsCoO2,2.233359,Indirect,0.537004,64.0,-5.13850599125
9,As1Fe1Se1,FeAsSe,0.0,Indirect,0.0,14.0,-4.7760253816667
10,Au1Cl3Cs1,CsAuCl3,0.0,Indirect,0.0,215.0,-2.905877842
11,Au1Bi1K2,K2AuBi,1.328635,Indirect,0.834525,63.0,-2.7209128
12,Cl5Fe1Tl3,Tl3FeCl5,3.507274,Indirect,2.34671,140.0,-3.4778457866667
13,Cu2S4W1,Cu2(WS4),2.443688,Indirect,1.646567,121.0,-5.3573322942857
14,Cr2Ni1S4,Cr2(NiS4),1.865763,Indirect,0.964251,12.0,-5.3993669942857
15,Cs1Mo1O6P1,Cs(MoO2(PO4)),3.885842,Indirect,2.445802,70.0,-7.3038308402778
16,Co8Ru1S8,Co8RuS8,0.0,Indirect,0.0,225.0,-4.9220603991176
17,As1K1Zn1,KZnAs,1.165429,Direct,0.525212,194.0,-2.49331766
18,Cr1Na1S2,Na(CrS2),2.032201,Indirect,1.126976,166.0,-5.18188594
19,Bi1Cs3Se3,Cs3(BiSe3),2.774554,Indirect,2.025708,198.0,-3.3902791632143
20,Ce1Cl6Cs2,Cs2CeCl6,3.162277,Indirect,2.088453,164.0,-3.9631774633333
21,Cu1Ga1S2,CuGaS2,1.895106,Direct,1.077408,122.0,-4.000376315
22,Cd2I1P3,Cd2P3I,1.788951,Indirect,1.05979,9.0,-3.4364389066667
23,C1Cu1O3,CuCO3,3.230794,Indirect,1.040133,8.0,-6.255224031
24,Cl4Fe1Na1,NaFeCl4,3.567156,Indirect,2.296233,19.0,-3.6405880641667
25,Cd4La6Pd13,La6Pd13Cd4,0.0,Indirect,0.0,229.0,-5.1177918421739
26,C2Fe1H6N2O4,Fe(C2O4)(NH3)2,2.762702,Direct,2.232036,15.0,-6.2289971253333
27,As1Se3Tl3,Tl3(AsSe3),1.231939,Direct,0.680086,160.0,-3.4427300814286
28,Ca1O3Sn1,CaSnO3,3.153605,Direct,1.53404,225.0,-6.205187671
29,Ca2I1P1,Ca2PI,2.427353,Indirect,1.65596,166.0,-4.1028136775
30,Al1As2Na3,Na3(AlAs2),1.593173,Indirect,0.909301,72.0,-3.3576630516667
31,Cr1F5Mn1,MnCrF5,3.111449,Indirect,2.059232,15.0,-6.0584380264286
32,As2B1Cs3,Cs3(BAs2),2.19036,Indirect,1.534607,15.0,-3.4608834933333
33,Cr1I3Rb1,RbCrI3,2.196047,Indirect,1.345126,5.0,-3.4983166485
34,Cs2Ge1Se3,Cs4(Ge2Se6),2.538338,Indirect,1.603524,12.0,-3.6943172583333
35,Br3Cs1Ni1,CsNiBr3,3.471766,Indirect,2.526312,194.0,-2.805530626
36,Br2Nb1S2,NbS2Br2,2.416449,Indirect,1.432459,12.0,-5.167630042
37,B4Co4La1,LaCo4B4,0.0,Indirect,0.0,86.0,-7.0990060011111
38,Cd2Cl1P3,Cd2P3Cl,1.87903,Indirect,1.128722,15.0,-3.6205409991667
39,Cu1S2Tl1,CuTlS2,0.038698,Direct,0.0,122.0,-3.7519522125
40,Cl5Cs3Mn1,Cs3(MnCl5),5.476952,Direct,4.2026,140.0,-3.9049731888889
41,Al4C6Zr3,Zr3Al4C6,0.0,Indirect,0.0,160.0,-7.8268847946154
42,D4Mg1Sr1,SrMgD4,3.595068,Indirect,2.626607,36.0,-3.1564696366667
43,Al2Se4Zn1,ZnAl2Se4,3.183437,Direct,2.280468,82.0,-3.9791842014286
44,Cd3Rb2S4,Rb2(Cd3S4),2.754656,Direct,1.76803,62.0,-3.1289575258333
45,Cu1Ga1Se2,CuGaSe2,1.076808,Direct,0.372918,122.0,-3.60073770125
46,Fe3Na7O8,Na14(Fe6O16),3.713291,Indirect,2.20513,2.0,-5.2635443355556
47,Cu3S3Sb1,Cu3(SbS3),1.908431,Indirect,1.205818,19.0,-3.6292541660714
48,Au1Li2Sb1,AuLi2Sb,0.0,Indirect,0.0,216.0,-3.335462285
49,As3Cs6In1,Cs6(InAs3),1.122102,Indirect,0.534964,11.0,-2.5532636835
50,Au1O4P1,Au(PO4),3.315397,Direct,1.764851,15.0,-6.05260624
51,Cl6Pt1Tl2,Tl2(PtCl6),2.842368,Indirect,1.68645,225.0,-3.1942496455556
52,Cs1I6Ta1,Cs(TaI6),1.715864,Indirect,1.033858,15.0,-3.471643983125
53,B2Ni7Y3,Ni7Y3B2,0.0,Indirect,0.0,194.0,-6.40854302125
54,Co7Ge6Hf4,Hf4Co7Ge6,0.0,Indirect,0.0,229.0,-6.2436404852941
55,Br4Cd1Cs2,Cs2(CdBr4),4.624709,Direct,3.407658,14.0,-2.7367294653571
56,Cs2Hg6S7,Cs2Hg6S7,1.413657,Direct,0.631299,102.0,-2.505243745
57,Cu5Na1S3,NaCu5S3,0.0,Indirect,0.0,182.0,-3.9591199911111
58,Co1O6V2,Co(V2O6),2.774215,Indirect,1.964415,12.0,-7.0700677844444
59,As1Fe1Te1,FeAsTe,1.556879,Direct,0.640679,14.0,-5.6067877816667
60,Co1Li1O2,LiCoO2,2.589467,Indirect,0.896802,166.0,-5.562683635
61,Ba2Fe1O6W1,Ba2(FeWO6),1.816088,Direct,1.272555,87.0,-7.696139596
62,Cs5P3Si1,Cs5(SiP3),1.464534,Indirect,0.833635,62.0,-3.2331309016667
63,B2La3Ni13,La3Ni13B2,0.0,Indirect,0.0,191.0,-5.8945798016667
64,Cs2N12Pd1,Cs2(Pd(N3)4),3.084892,Direct,1.806011,14.0,-6.9687853496667
65,Cs4O4Pb1,Cs4(PbO4),3.015829,Direct,1.656758,14.0,-4.1894984072222
66,Bi1O3Sc1,BiScO3,3.831214,Indirect,2.694142,5.0,-7.3608047775
67,B3Cs1H12Sr1,CsSr(BH4)3,7.223882,Indirect,5.878289,18.0,-4.1027398461765
68,Co12Lu2P7,Lu2Co12P7,0.0,Indirect,0.0,174.0,-7.0498809961905
69,Cu2Ge1S3,Cu2GeS3,0.436903,Indirect,0.0,44.0,-4.374775825
70,Co3O8P2,Co3(PO4)2,4.606033,Direct,2.859138,14.0,-6.8319334588462
71,Cu2Ge1Se3,Cu2(GeSe3),0.0,Indirect,0.0,44.0,-3.9946696083333
72,F2H8Mo1N2O5,(NH4)2(MoF2O(O2)2),3.669351,Indirect,2.242968,2.0,-5.4164319155556
73,Fe2O7Sr3,Sr3(Fe2O7),0.0,Indirect,0.0,139.0,-6.3918617516667
74,C1S3Tl2,Tl2(CS3),2.532436,Indirect,1.691682,15.0,-4.4511742058333
75,Cs1Se3Te1,Cs2Te2Se6,1.074982,Indirect,0.528577,14.0,-3.3791707155
76,Cs1I4Tl1,CsTlI4,1.774051,Indirect,0.979138,14.0,-2.2624010858333
77,Cu1Pt2S4,Cu2Pt4S8,0.891834,Indirect,0.195502,13.0,-4.78750533
78,As2Co1O6,Co(AsO3)2,3.484346,Indirect,1.987183,162.0,-6.0704717033333
79,Cr2Se4Zn1,ZnCr2Se4,1.007465,Indirect,0.279942,227.0,-4.7828425442857
80,As6Cs7In3,Cs7In3As6,0.743916,Indirect,0.230252,2.0,-2.94489063
81,Au1Li3S2,Li3AuS2,2.916922,Direct,2.059993,72.0,-3.909740755
82,C1Co1Lu1,LuCoC,0.0,Indirect,0.0,131.0,-7.2619894816667
83,Cs3Ni1O2,Cs3NiO2,2.406806,Direct,1.39918,136.0,-3.5090948258333
84,Bi2Cs2Pd1,Cs2PdBi2,0.79377,Indirect,0.446626,63.0,-3.333654922
85,C6Co1H18Mn1N12,(Co(NH3)6)(Mn(CN)6),1.834274,Direct,2.136887,148.0,-6.0894515078947
86,B1Ir1Li1,LiIrB,0.0,Indirect,0.0,70.0,-6.3282328641667
87,Cu4S4Sn1,Cu4(SnS4),0.681497,Direct,0.01546,62.0,-4.1660920325
88,Mn2Se4Sn1,Mn2SnSe4,1.320835,Direct,0.531561,62.0,-5.1469369057143
89,Co1Ge1Te1,CoGeTe,0.79551,Indirect,0.184687,61.0,-4.1315627666667
90,Au1Cs1Te1,Cs(AuTe),1.903897,Direct,1.219491,51.0,-3.13651826
91,Au1I4Li1,Li(AuI4),1.246311,Indirect,0.665501,14.0,-2.3123300208333
92,C2Cs1K1,CsKC2,4.771103,Indirect,3.476221,62.0,-4.80419868625
93,Bi2Cs2Se5Zn1,Cs2Bi2ZnSe5,2.034061,Indirect,1.460914,62.0,-3.53843507525
94,Cl5Cs3Ni1,Cs3NiCl5,3.66308,Indirect,2.564413,140.0,-3.2172851027778
95,Cs6Ga1Sb3,Cs6(GaSb3),0.982782,Indirect,0.452484,11.0,-2.470688249
96,Co1O9Se3Sr2,Sr2Co(SeO3)3,4.362489,Indirect,2.800491,2.0,-5.815871222
97,Bi1O3Sc1,BiScO3,3.796755,Indirect,2.708066,9.0,-7.36073107
98,Co1S4V2,V2CoS4,0.0,Indirect,0.0,12.0,-6.7114259314286
99,Br5Cs3Mn1,Cs3MnBr5,4.832348,Direct,3.677889,140.0,-3.5815001716667
100,Ag3Cs1S2,Cs(Ag3S2),1.376494,Indirect,0.452824,12.0,-3.2678710216667
101,Cr1Cs2F10H4,Cs2(CrF6)(HF)4,2.999931,Indirect,1.65759,14.0,-4.5720258379412
102,Cs2Mo1S4,Cs2(MoS4),2.474312,Direct,1.701038,62.0,-5.1515029657143
103,B4La2Ni5,La2Ni5B4,0.0,Indirect,0.0,12.0,-6.2937659972727
104,Cs1I3O13V2,Cs((VO)2(IO3)3O2),2.53901,Indirect,1.808495,46.0,-5.4273864665789
105,Cs1I1Mo1O6,Cs(MoO3(IO3)),3.372328,Direct,2.27715,33.0,-6.1395577275
106,Cu1La1O3,La(CuO3),0.0,Indirect,0.0,167.0,-6.700506316
107,Cu2S3Sn1,Cu2SnS3,0.517199,Direct,0.021194,9.0,-3.874951325
108,Cu3P1Se4,Cu3(PSe4),0.994821,Direct,0.300697,31.0,-3.516798850625
109,Co1Na4O3,Na4(CoO3),2.693368,Indirect,1.574916,9.0,-4.421594993125
110,B2Li2Rh3,Li2Rh3B2,0.0,Indirect,0.0,55.0,-6.0752063635714
111,As6Ca5Sn2,Ca5Sn2As6,0.796076,Indirect,0.257058,55.0,-4.3621574853846
112,Al1Cl7S1,(SCl3)(AlCl4),3.989362,Indirect,2.669592,7.0,-3.1160154744444
113,O7P2V1,(VO)(PO3)2,4.115804,Direct,2.770657,15.0,-7.322321601
114,Al3C3Sc1,ScAl3C3,0.761048,Indirect,0.035337,186.0,-6.7964333164286
115,Co5La1P3,LaCo5P3,0.0,Indirect,0.0,63.0,-7.0516556672222
116,Fe2O5Ti1,Fe2TiO5,3.275243,Indirect,2.043936,15.0,-7.5674729153125
117,As3Ge3K1,KGe3As3,1.038286,Indirect,0.583438,62.0,-4.2791886860714
118,Al3C3Sc1,ScAl3C3,0.734639,Indirect,0.0,194.0,-6.7964429228571
119,Br3Cs1Ge1,Cs(GeBr3),2.006761,Direct,1.36553,160.0,-3.190337996
120,Fe1La1O3,La(FeO3),1.470034,Indirect,2.39062,62.0,-7.707026897
121,Ca5Ge6Pd6,Ca5Pd6Ge6,0.0,Indirect,0.0,229.0,-4.7756301423529
122,Cu2S3Si1,Cu2SiS3,2.452138,Indirect,1.650852,36.0,-4.2548745125
123,Ce1Mo6S8,CeMo6S8,0.573416,Indirect,0.223039,148.0,-7.90507
124,Cl6K2Tc1,K2TcCl6,3.173689,Direct,1.160631,225.0,-3.9417593944444
125,C8Cr1H12N2O2S2,Cr(NCS)2(OC(CH3)2)2,3.0256,Indirect,1.989884,2.0,-6.0514980611111
126,Be1Li1P1,LiBeP,1.802117,Indirect,1.147464,129.0,-4.2673859683333
127,Al1Ce2Ge6,Ce2AlGe6,0.0,Indirect,0.0,12.0,-5.16308
128,Cl3Nb1Se1,NbSeCl3,1.799926,Indirect,0.727435,13.0,-4.925289645
129,As1Ca3N1,Ca3AsN,1.486791,Direct,0.678164,221.0,-4.853595152
130,Ag1Li2Sb1,AgLi2Sb,0.870991,Direct,0.178726,216.0,-3.125023775
131,As2Ca1Mg2,CaMg2As2,1.907953,Indirect,1.239718,164.0,-3.79864629
132,Al2Ca1Si2,CaAl2Si2,0.0,Indirect,0.0,164.0,-4.34073209
133,Cs1Se3Sn1,Cs2(Sn2Se4(Se2)),1.897916,Indirect,1.064286,2.0,-3.731766142
134,As1K1Zn1,KZnAs,1.058981,Indirect,0.430909,187.0,-2.48507795
135,Cs1In1S2,Cs(InS2),3.191308,Direct,2.178535,15.0,-3.8807939390625
136,Cu3Ta1Te4,Cu3TaTe4,1.842006,Indirect,1.260778,215.0,-4.23049263125
137,As1Cd1K1,CdKAs,0.735105,Indirect,0.140021,129.0,-2.56598921
138,Cs2Ga1Sb2,Cs2(GaSb2),1.605993,Indirect,1.076413,62.0,-3.02564260375
139,Ag1Bi1Se2,Ag(BiSe2),0.687516,Indirect,0.14776,164.0,-3.6665
140,B1Se3Tl1,Tl(BSe(Se2)),1.685612,Indirect,0.852864,9.0,-4.12547275
141,As2Ca1Zn2,CaZn2As2,1.247822,Direct,0.712168,164.0,-3.105158386
142,As2Be2Mg1,MgBe2As2,0.976122,Indirect,0.400613,164.0,-3.98591791
143,Cs4Ga2Se5,Cs8Ga4Se10,3.067514,Direct,2.130236,2.0,-3.4973664527273
144,C4H2N4O2Pt1Rb2,Rb2(Pt(CN)4)(H2O2),2.464646,Direct,1.465443,15.0,-6.619662958
145,Cl1N5S5,(S5N5)Cl,2.235011,Indirect,1.419133,15.0,-5.3662540731818
146,Bi1Cl1Te1,BiTeCl,1.84307,Indirect,1.274917,186.0,-3.5439266833333
147,Au1I4Na1O12,NaAu(IO3)4,3.271719,Indirect,2.023751,14.0,-4.3355919475
148,C4Cu1H6N8,Cu(C2N3)2(NH3)2,3.897715,Indirect,2.021395,14.0,-6.5925211565789
149,C2Cs2Pd1,Cs2PdC2,2.516951,Indirect,1.686518,164.0,-5.057312988
150,Cs4P2Se9,Cs4(P2Se9),2.309761,Direct,1.430514,15.0,-3.749720957
151,Be1Li1Sb1,LiBeSb,1.389026,Indirect,0.852706,186.0,-3.5018743766667
152,Ca1O3Ti1,Ca(TiO3),3.510603,Direct,2.195598,62.0,-8.0075888115
153,Cr1Cu1S2,CuCrS2,0.883924,Indirect,0.184553,160.0,-5.030534405
154,As1Li1Zn1,LiZnAs,1.624764,Direct,1.015464,216.0,-2.8546489266667
155,C4N4Pd1Tl2,Tl2Pd(CN)4,3.72717,Indirect,2.678436,14.0,-7.0313845304545
156,Cd1Ce2Cu2,Ce2Cu2Cd,0.0,Indirect,0.0,15.0,-4.18942
157,C6Cs2K1N6Rh1,KCs2Rh(CN)6,7.060601,Indirect,5.473903,14.0,-7.414643495625
158,Cr2Fe1Se4,FeCr2Se4,0.510062,Indirect,0.0,12.0,-5.4477898171429
159,Co1Na4O4,Na4(CoO4),3.151878,Indirect,1.490406,1.0,-4.70924143
160,Cu3P1S4,Cu3PS4,2.347933,Indirect,1.474478,31.0,-3.961507619375
161,F1O4P1V1,V(PO4)F,2.55959,Indirect,1.428986,15.0,-7.077586295
162,Ca1Fe1O3,CaFeO3,0.785349,Indirect,0.023676,62.0,-6.482369071
163,As1Li1Mg1,LiMgAs,1.973654,Indirect,1.364537,216.0,-3.4403644633333
164,As1In1Pt5,Pt5InAs,0.0,Indirect,0.0,123.0,-5.7396013985714
165,Ce4N2Se3,Ce4N2Se3,0.0,Indirect,0.0,15.0,-7.3961
166,Fe2La3S7,Fe2La3S7,0.0,Indirect,0.0,173.0,-6.4764863525
167,As2Be2Ca1,CaBe2As2,1.288014,Indirect,0.642396,164.0,-4.359092096
168,F3K1Mn1,KMnF3,5.245857,Indirect,4.108234,62.0,-5.481539474
169,Cd1F5Mn1,Cd(MnF5),3.059871,Indirect,1.521836,15.0,-4.7167644078571
170,Au1C2K1,KAuC2,2.777772,Indirect,1.924609,123.0,-5.525794015
171,Cs2Ge1Te4,Cs2((Te2)(GeTe2)),0.940345,Indirect,0.48424,62.0,-3.2774471767857
172,Fe2O5Sr3,Sr3Fe2O5,2.316447,Indirect,1.385193,65.0,-6.3168178655
173,As1Ca1Cu1,CaCuAs,0.752525,Indirect,0.114498,194.0,-3.8163218066667
174,Au1C1N1,Au(CN),2.539361,Indirect,1.616293,183.0,-6.58066468
175,Cl7Mo2N1,Mo2NCl7,1.520895,Indirect,0.204799,2.0,-5.05271328775
176,Fe1Na2O4,Na2(FeO4),2.91511,Indirect,1.424926,63.0,-5.2588229814286
177,Ca2In1O6Os1,Ca2InOsO6,1.941106,Direct,0.134086,14.0,-6.720977275
178,As2Ca1Cd2,CaCd2As2,0.897236,Direct,0.203862,164.0,-3.141492672
179,Co1O6Pb2Te1,Pb2CoTeO6,3.086405,Indirect,1.590028,14.0,-5.610587167
180,Cs1S3Sn1,Cs2(Sn2S4(S2)),2.660702,Indirect,1.656552,2.0,-4.124723197
181,H1K1Mn2O9P2,KMn2O(PO4)(HPO4),1.884577,Indirect,0.561091,11.0,-6.911067252
182,Fe1Ga1Ni2,Ni2FeGa,0.0,Indirect,0.0,12.0,-5.744597112
183,As2Rb2Si1,Rb2SiAs2,1.692943,Indirect,0.947142,72.0,-3.749298103
184,Cl1I1Pb1,PbClI,3.496211,Indirect,2.680746,62.0,-3.1814084666667
185,C3Mn1N3Rb1,Rb2Mn(Mn(CN)6),1.911069,Indirect,1.27742,14.0,-7.606546909375
186,Ca1H6O16S4,Ca((HSO4)2(H2SO4)2),6.600708,Indirect,4.289494,2.0,-5.518804417037
187,Cl6K2Ti1,K2TiCl6,3.280382,Indirect,2.004025,225.0,-4.0775316755556
188,Br1Cr1S1,CrSBr,1.374841,Indirect,0.480086,59.0,-5.13551626
189,As1Pb2Pd3,Pb2Pd3As,0.0,Indirect,0.0,36.0,-4.9134053083333
190,B1P1S4,B(PS4),3.257739,Indirect,2.098655,23.0,-5.0699057183333
191,Cl1O8Pb2Se2V1,Pb2VO2(SeO3)2Cl,2.054722,Indirect,1.478651,4.0,-5.7005092075
192,Au1C2Li1,LiAuC2,2.24461,Indirect,1.380599,187.0,-5.69225914
193,Ba1Ca1Sn1,BaCaSn,0.589517,Indirect,0.238472,62.0,-3.2195647133333
194,Cu9Sn4Sr1,SrCu9Sn4,0.0,Indirect,0.0,140.0,-3.7594383067857
195,Al2C2Mg1,Al2MgC2,2.520752,Indirect,1.742829,164.0,-5.5538497
196,Co1O3Y1,Y(CoO3),2.71319,Direct,1.235501,62.0,-7.557303964
197,Cs1Si1Te3,Cs2Si2Te6,1.769333,Direct,1.14289,9.0,-3.6142571265
198,Co1O4S1,Co(SO4),4.134931,Direct,1.887374,63.0,-6.10031207125
199,Bi1Mn7O12,BiMn7O12,0.0,Indirect,0.0,12.0,-7.22906111
200,As1Hg1K1,KHgAs,0.0,Indirect,0.0,194.0,-2.3088640116667
201,Cl2Cu3H6O6Zn1,Cu3Zn(OH)6Cl2,3.351187,Indirect,1.302041,166.0,-4.3804472477778
202,Ba1Co1F4,BaCoF4,5.045875,Indirect,3.216193,36.0,-5.3663698283333
203,Bi1Li1Mg1,LiMgBi,0.892439,Direct,0.364578,216.0,-2.82958
204,As3Cd4Cs1,CsCd4As3,0.722481,Direct,0.175978,123.0,-2.48436446875
205,Cl6Fe1Hf1,Fe(HfCl6),3.663709,Indirect,3.057132,163.0,-4.925839285625
206,Be2Mg1P2,MgBe2P2,1.296661,Indirect,0.677056,164.0,-4.43322998
207,Fe1La3O6,La3FeO6,2.014422,Direct,2.770686,36.0,-8.0357328365
208,Bi1Fe1O3,Bi(FeO3),2.040434,Indirect,0.938093,62.0,-6.4176398625
209,Cs2Hf1I6,Cs2HfI6,3.089765,Indirect,2.157573,225.0,-3.5761309544444
210,Au1Rb1S1,Rb(AuS),2.895316,Indirect,1.944396,63.0,-3.5245078866667
211,Al2Hg1S4,HgAl2S4,3.130477,Indirect,2.079375,82.0,-4.2634231028571
212,Co2H3Mo2Na1O10,NaCo2(MoO4)2(H3O2),0.829784,Indirect,0.086099,12.0,-6.1751250694444
213,Cu4S4Ti1,Cu4(TiS4),2.400841,Indirect,1.571461,121.0,-4.4031306822222
214,As2La1Li3,Li3LaAs2,0.890735,Indirect,0.500383,164.0,-4.33720777
215,Cu2S3Si1,Cu2SiS3,2.380938,Direct,1.556568,9.0,-4.2603261916667
216,Fe1H1O2,FeO(OH),3.159462,Indirect,2.228144,63.0,-6.108918529375
217,Al1P1S4,Al(PS4),3.79419,Indirect,2.612811,23.0,-4.8565089466667
218,D5Pd1Rb3,PdRb3D5,3.71103,Direct,2.638133,127.0,-2.9932293655556
219,Cu1I2O6,Cu(IO3)2,3.300427,Indirect,1.454976,4.0,-4.2982855044444
220,Co1Mo1O4,Co(MoO4),3.083891,Indirect,1.810179,12.0,-7.58659212625
221,Cl6Na1Ta1,Na(TaCl6),4.036423,Direct,2.869485,14.0,-4.5005556546875
222,Cs1F4H4Mn1O2,Cs(MnF4(H2O)2),3.613689,Direct,2.049167,5.0,-5.0855557591667
223,B2Co5P1,Co5B2P,0.0,Indirect,0.0,140.0,-7.10841582
224,B2Cr1Ta2,CrTa2B2,0.0,Indirect,0.0,127.0,-10.041183546
225,Fe2O5Ti1,Fe2(TiO5),3.054467,Direct,1.725355,12.0,-7.5867886560938
226,Li3Ni2O6Sb1,Li3Ni2SbO6,4.110841,Indirect,2.937025,12.0,-5.4285250233333
227,As1In1Pd5,Pd5InAs,0.0,Indirect,0.0,123.0,-5.2588274157143
228,As1K1Sn1,KSnAs,0.698388,Indirect,0.305661,186.0,-3.56984767
229,Bi1H1O6Se2,Bi(SeO3)(HSeO3),4.708565,Indirect,3.500471,9.0,-5.349779807
230,Bi7Cu4S12,Cu4Bi7S12,0.0,Indirect,0.0,12.0,-4.251521513913
231,Co1Ga2S4,CoGa2S4,2.950072,Indirect,1.655024,82.0,-4.4998627257143
232,As1Mn1Na1O4,NaMn(AsO4),3.445154,Indirect,2.27726,62.0,-6.3747713110714
233,Au1K2P1,K2(AuP),1.527938,Direct,0.927868,63.0,-3.1610390225
234,Ca1Ga4O7,CaGa4O7,4.162305,Direct,2.492758,15.0,-6.10715442875
235,Cu2S3Si1,Cu2(SiS3),0.720408,Direct,0.059279,143.0,-4.1204737566667
236,Cu1K2P1,K2CuP,1.911744,Indirect,1.370644,63.0,-2.80250491875
237,As1Au1Ca1,AuCaAs,0.0,Indirect,0.0,194.0,-4.1535177133333
238,Cs1I3V1,CsVI3,3.62066,Indirect,2.787602,194.0,-3.51969805
239,Co1Na4O3,Na4(CoO3),2.69027,Indirect,1.573003,1.0,-4.42161288
240,Al5La1Ni2,LaNi2Al5,0.0,Indirect,0.0,71.0,-4.944186155
241,Cu2O8Te3,Cu2Te3O8,3.181907,Indirect,1.380821,15.0,-5.0514778734615
242,Fe1Na3Se3,Na3FeSe3,2.278679,Indirect,1.28759,14.0,-3.7420015603571
243,Au1Li1S1,LiAuS,2.183416,Direct,1.423682,15.0,-3.8218334116667
244,C1Cu1Na3O7P1,Na3Cu(PO4)(CO3),3.527581,Indirect,1.44137,11.0,-6.0966794365385
245,Au1C2Cs1,CsAuC2,2.789427,Indirect,1.923176,123.0,-5.49578031
246,Cl2Cr1H12I1N4,(Cr(NH3)4Cl2)I,3.61961,Indirect,2.428536,12.0,-4.9039690435
247,B4Bi1H3O9,Bi(B4O6(OH)2)(OH),5.482347,Indirect,4.215085,1.0,-6.9437308902941
248,B4Ce1Ir4,CeIr4B4,0.0,Indirect,0.0,86.0,-8.1292567244444
249,B4Ce1Os4,CeOs4B4,0.0,Indirect,0.0,86.0,-9.0618525227778
250,B4La1Os4,LaOs4B4,0.0,Indirect,0.0,86.0,-8.9107630011111
251,B4Os5Sc2,Sc2Os5B4,0.0,Indirect,0.0,10.0,-9.1452213345455
252,B6Rh1Sc2,Sc2RhB6,0.0,Indirect,0.0,55.0,-7.4001833391667
253,Bi1Ir1S1,IrBiS,1.340151,Indirect,0.723466,198.0,-5.8530725483333
254,Bi1Mg2O6V1,BiMg2(VO6),4.380906,Direct,3.298977,62.0,-6.4750642225
255,Bi1O4P1,Bi(PO4),4.996654,Indirect,3.749183,4.0,-6.8052219266667
256,Bi1Rh1S1,RhBiS,0.776181,Indirect,0.283995,198.0,-5.481261225
257,C1Ca1Cs1F1O3,CaCsF(CO3),6.376062,Direct,4.616385,189.0,-6.5253452638095
258,C1Ca1O3,Ca(CO3),6.711941,Indirect,4.651122,40.0,-7.432260739
259,C1Cd1F1K1O3,KCdCO3F,3.50739,Indirect,1.663016,187.0,-5.6723423671429
260,C1Ce1Ru3,CeRu3C,0.0,Indirect,0.0,221.0,-8.80016
261,C1Cl1Cu1H2N2,Cu(NCNH2)Cl,3.001456,Indirect,2.050372,62.0,-5.1583885571429
262,C1Cl1H9N6,(NH2NH)3CCl,6.535755,Indirect,4.980278,176.0,-5.5145509070588
263,C1Cl1La2,La2ClC,0.0,Indirect,0.0,166.0,-6.2421360525
264,C1Cs1H4N3,Cs(CN3H4),5.088374,Direct,3.792375,62.0,-5.7193934172222
265,C1Cu1H2N1S2,Cu(S2CNH2),2.817823,Indirect,1.894386,19.0,-5.118391145
266,C1F6H6N3P1,(C(NH2)3)(PF6),6.900018,Indirect,5.201422,166.0,-5.4952940308824
267,C1H1N1O1,(C3N3)H3O3,6.545792,Indirect,4.638595,15.0,-7.1403843075
268,C1H1N3O1,(CHO)(N3),5.117009,Indirect,3.386893,7.0,-7.02847889625
269,C1H3K1N1,K2(C2)(NH3)2,5.227003,Indirect,3.8809,14.0,-4.9295277929167
270,C1H3N1O1Si1,SiH3NCO,7.107604,Indirect,5.656253,62.0,-5.7473606142857
271,C1H3Se1,Se2(CH3)2,3.072728,Direct,1.995106,43.0,-4.666220062
272,C1H4Li1N1O2S1,Li(SCN)(H2O)2,5.551936,Direct,4.327551,62.0,-5.47798629575
273,C1H4Li1N3,(C(NH2)(NH)2)Li,5.579283,Indirect,4.190312,14.0,-5.8905829763889
274,C1H5N3,NH4HCN2,5.556273,Indirect,4.304645,19.0,-5.8687334791667
275,C1H5Na1O4,Na(HCO2)(H2O)2,6.990122,Indirect,5.067601,4.0,-5.4436552918182
276,C1H9N9,((N2H5)2((N4C)2N2))(N2H4)2,3.396612,Direct,1.961515,2.0,-6.0077661886842
277,C1Li1N1S1,Li(SCN),4.767354,Indirect,3.624112,62.0,-6.273836033125
278,C1Mn1O3,Mn(CO3),5.527341,Indirect,4.046901,167.0,-7.868139081
279,C1N2Sr1,SrNCN,4.383291,Indirect,3.236254,166.0,-7.7418794091667
280,C2Ca1H8N4O5,Ca((NH2)(NH)COO)2(H2O),6.301013,Indirect,4.817914,2.0,-6.152843914
281,C2Cd1Cl2H8N4S2,CdCl2(SC(NH2)2)2,4.411731,Indirect,3.39462,31.0,-5.2441681392105
282,C2Cd1H6O7,Cd2(C2O4)2(H2O)6,5.432304,Indirect,3.56574,1.0,-5.723336306875
