,formula,$y$,A,B,C,hse
111,Cu(NiO2)2,False,Cu,Ni,O,0.0
112,MnIn2O4,False,Mn,In,O,2.6066184043884277
113,CaV2O4,True,Ca,V,O,0.0
114,Y2HgO4,True,Hg,Y,O,2.748758316040039
115,CaCr2O4,False,Ca,Cr,O,3.7317662239074707
116,Ca(BiO2)2,False,Ca,Bi,O,2.6261234283447266
117,Zn(CoO2)2,False,Zn,Co,O,0.0
118,Zn2PdO4,False,Pd,Zn,O,0.0
119,Zn(BiO2)2,False,Zn,Bi,O,1.3236310482025146
120,Mn(CoO2)2,False,Mn,Co,O,0.0
121,Mn2NiO4,False,Ni,Mn,O,0.0
122,Cu(RhO2)2,False,Cu,Rh,O,0.0
123,MgIn2O4,True,Mg,In,O,3.4814236164093018
124,Cd2SiO4,True,Si,Cd,O,2.5928115844726562
125,MgV2O4,False,Mg,V,O,0.0
126,Mg2VO4,False,V,Mg,O,0.0
127,Zn(RhO2)2,False,Zn,Rh,O,2.8742361068725586
128,Al(CuO2)2,False,Al,Cu,O,0.0
129,Al(SnO2)2,False,Al,Sn,O,0.0
130,SrSc2O4,False,Sr,Sc,O,5.135591983795166
131,Li(MoO2)2,False,Li,Mo,O,0.0
132,Zn(SbO2)2,False,Zn,Sb,O,0.7483577728271484
133,V2CoO4,False,Co,V,O,0.0
134,CaGd2O4,True,Ca,Gd,O,4.900475978851318
135,Li(CuO2)2,False,Li,Cu,O,0.0
136,Zn(IrO2)2,False,Zn,Ir,O,1.773253321647644
137,Li(NiO2)2,False,Li,Ni,O,0.0
138,Mg2SnO4,False,Sn,Mg,O,3.5281968116760254
139,La2EuO4,True,Eu,La,O,0.0
140,Mg(AgO2)2,False,Mg,Ag,O,0.0
141,Al2FeO4,False,Fe,Al,O,0.0
142,Ca(AgO2)2,False,Ca,Ag,O,0.0
143,Zn(SnO2)2,False,Zn,Sn,O,0.0
144,Mg(WO2)2,True,Mg,W,O,3.8365769386291504
145,Ca(NiO2)2,False,Ca,Ni,O,0.0
146,Fe2CuO4,False,Cu,Fe,O,0.0
147,Al(NiO2)2,False,Al,Ni,O,0.0
148,In2HgO4,False,Hg,In,O,1.7055286169052124
149,Al2NiO4,False,Ni,Al,O,4.880009651184082
150,Zn(WO2)2,True,Zn,W,O,2.2933545112609863
151,Na(SnO2)2,False,Na,Sn,O,0.0
152,Co2CuO4,False,Cu,Co,O,0.0
153,Y(CuO2)2,False,Y,Cu,O,0.0
154,Zn(AgO2)2,False,Zn,Ag,O,0.0
155,Fe2CoO4,True,Co,Fe,O,3.3328769207000732
