,$Dp_b$,$F_b$,LUMO_character,$R_b$,$D_b$,$Nd_b$,$Ce_a$,LUMO_element,$Fi_b$,$(En)diff_{ab}$,$(En)diff_{cb}$,$o$,$y$
206,65.0,5,2,0.8,7.31,10,4.28,16,558.3,0.050000000000000044,0.8,0.43478260869565216,0
175,49.0,4,2,0.6,8.91,8,4.28,16,737.1,0.07999999999999985,0.6700000000000002,0.3260869565217391,0
97,83.0,4,3,0.62,7.15,5,1.35,24,652.9,0.010000000000000009,1.78,0.4428571428571429,0
36,65.0,5,1,0.8,7.31,10,1.16,49,558.3,0.09000000000000008,1.66,0.5714285714285715,0
49,87.0,4,3,0.61,6.11,3,1.113,23,650.9,0.6999999999999998,1.81,0.4357142857142857,1
190,68.0,4,2,0.65,7.44,5,1.35,16,717.3,0.09999999999999987,1.03,0.3532608695652174,0
257,57.8,5,2,0.54,2.7,0,1.16,16,577.5,0.07999999999999985,0.97,0.29347826086956524,0
60,62.0,4,3,0.65,7.87,6,2.92,26,762.5,0.28,1.6099999999999999,0.46428571428571436,0
203,100.0,4,3,0.67,4.54,2,1.84,22,658.8,0.54,1.04,0.3641304347826087,0
55,83.0,4,1,0.62,7.15,5,4.39,24,652.9,0.21999999999999997,1.78,0.4428571428571429,1
53,87.0,4,3,0.7150000000000001,6.11,3,3.39,23,650.9,0.019999999999999796,1.81,0.5107142857142858,0
236,66.0,4,3,0.67,12.4,8,4.39,45,719.7,0.3999999999999999,0.30000000000000027,0.3641304347826087,1
160,66.0,4,3,0.67,12.4,8,2.92,45,719.7,0.7299999999999998,1.1600000000000001,0.47857142857142865,0
26,170.0,3,4,0.92,8.23,0,1.84,65,565.8,0.19999999999999996,2.24,0.6571428571428573,0
298,137.0,3,1,0.86,9.84,1,1.51,12,523.5,0.040000000000000036,1.2799999999999998,0.43434343434343436,1
235,62.0,4,2,0.65,7.87,6,1.84,16,762.5,0.8300000000000001,0.75,0.3532608695652174,0
131,43.0,6,1,0.76,6.69,10,1.35,30,834.0,0.3999999999999999,1.3900000000000001,0.5428571428571429,0
