,Unnamed: 0,formula,$y$
208,208,Mg(FeS2)2,False
209,209,Li(TiS2)2,False
210,210,In2FeS4,False
211,211,Mg(MoS2)2,False
212,212,Ni(RhS2)2,False
213,213,Ca(VS2)2,False
214,214,Y2MgS4,True
215,215,Al2HgS4,False
216,216,Lu2FeS4,False
217,217,Lu2MnS4,False
218,218,Zn(FeS2)2,False
219,219,In2NiS4,False
220,220,Ho2MgS4,True
221,221,Cr2CuS4,False
222,222,Zn(CoS2)2,False
223,223,Mn(CrS2)2,False
224,224,Cs(CrS2)2,False
225,225,Li(NiS2)2,False
226,226,Ho2CdS4,True
227,227,Ti2ZnS4,False
228,228,Mn(AlS2)2,True
229,229,Mn(InS2)2,False
230,230,Mg(NiS2)2,False
231,231,Tm2CdS4,True
232,232,Lu2CdS4,True
233,233,Lu2MgS4,True
234,234,Mg(TiS2)2,False
235,235,Li(FeS2)2,False
236,236,Mg(AlS2)2,False
237,237,Co(NiS2)2,False
238,238,Co(RhS2)2,True
239,239,Fe(RhS2)2,False
240,240,Ca(FeS2)2,False
241,241,V2CuS4,False
242,242,Ca(CoS2)2,False
243,243,Zn(NiS2)2,False
244,244,Mg(ScS2)2,True
245,245,Nd2MgS4,True
246,246,Al2ZnS4,False
247,247,K(CrS2)2,False
248,248,V2ZnS4,False
249,249,Co2NiS4,False
250,250,Sm2MgS4,True
251,251,Sc2MnS4,False
252,252,Yb2MgS4,False
253,253,Pm2MgS4,True
254,254,Gd2MgS4,False
255,255,Eu2MgS4,False
256,256,Cu(RhS2)2,False
257,257,Cr2CdS4,False
258,258,Cr2HgS4,False
259,259,Sc2FeS4,False
260,260,Al2CdS4,False
261,261,Er2CdS4,True
262,262,Zn(InS2)2,False
263,263,Y2ZnS4,True
264,264,Fe2SiS4,False
265,265,Cr2CoS4,False
266,266,Na(CrS2)2,False
267,267,Cu(IrS2)2,False
268,268,Rb(CrS2)2,False
269,269,Li(CrS2)2,False
270,270,Y2CdS4,True
271,271,Cd(InS2)2,False
272,272,La2MgS4,False
273,273,Cr2GaS4,False
274,274,Li(CoS2)2,False
275,275,Ca2SnS4,True
276,276,Y2CdSe4,True
277,277,Cr2CuSe4,False
278,278,Dy2MgSe4,True
279,279,Cu(RhSe2)2,False
280,280,Mg(ScSe2)2,True
281,281,Nd2MgSe4,True
282,282,Cd(InSe2)2,False
283,283,Ho2MgSe4,True
284,284,Sc2ZnSe4,True
285,285,Pr2MgSe4,True
286,286,Zn(InSe2)2,False
287,287,Tb2MgSe4,True
288,288,La2MgSe4,True
289,289,Zn(CrSe2)2,False
290,290,Sc2CdSe4,True
291,291,Al2HgSe4,False
292,292,Lu2CdSe4,True
293,293,Sc2MnSe4,False
294,294,Yb2ZnSe4,False
295,295,Er2MgSe4,True
296,296,Dy2CdSe4,True
297,297,Pm2MgSe4,True
298,298,Cr2HgSe4,False
299,299,In2CoSe4,False
300,300,Mn2ZnSe4,False
301,301,Lu2MgSe4,True
302,302,Eu2MgSe4,False
303,303,Al2ZnSe4,False
304,304,Y2MgSe4,True
305,305,Lu2MnSe4,True
306,306,Tm2CdSe4,True
307,307,Mg(InSe2)2,True
308,308,Yb2CdSe4,False
309,309,Y2ZnSe4,True
310,310,Cr2CdSe4,False
311,311,Sm2MgSe4,True
312,312,Tm2MgSe4,True
313,313,Ho2CdSe4,True
314,314,Al2CdSe4,False
315,315,Mg(CrSe2)2,False
316,316,Yb2MnSe4,False
317,317,Yb2MgSe4,False
318,318,Cr2AgTe4,False
319,319,Mn2ZnTe4,False
320,320,Dy2CdTe4,False
321,321,Cr2CuTe4,False
322,322,Li2ZnCl4,False
323,323,LiAg2F4,False
324,324,Li2MnF4,True
