,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,formula,$y$
83,83.0,83.0,83.0,83.0,83.0,4.0,Mg2FeO4,0
84,84.0,84.0,84.0,84.0,84.0,290.0,Sc2MnSe4,0
85,85.0,85.0,85.0,85.0,85.0,309.0,Tm2MgSe4,1
86,86.0,86.0,86.0,86.0,86.0,277.0,Mg(ScSe2)2,1
87,87.0,87.0,87.0,87.0,87.0,166.0,Cd2SnO4,0
88,88.0,88.0,88.0,88.0,88.0,147.0,Al2NiO4,0
89,89.0,89.0,89.0,89.0,89.0,123.0,MgIn2O4,1
90,90.0,90.0,90.0,90.0,90.0,176.0,Cr(GaS2)2,0
91,91.0,91.0,91.0,91.0,91.0,124.0,Cd2SiO4,1
92,92.0,92.0,92.0,92.0,92.0,244.0,K(CrS2)2,0
93,93.0,93.0,93.0,93.0,93.0,87.0,Al(CoO2)2,0
94,94.0,94.0,94.0,94.0,94.0,69.0,Cr2FeO4,0
95,95.0,95.0,95.0,95.0,95.0,270.0,Cr2GaS4,0
96,96.0,96.0,96.0,96.0,96.0,118.0,Zn(CoO2)2,0
97,97.0,97.0,97.0,97.0,97.0,214.0,Lu2MnS4,0
98,98.0,98.0,98.0,98.0,98.0,34.0,MgAl2O4,0
99,99.0,99.0,99.0,99.0,99.0,265.0,Rb(CrS2)2,0
100,100.0,100.0,100.0,100.0,100.0,217.0,Ho2MgS4,1
101,101.0,101.0,101.0,101.0,101.0,159.0,Ni(RhO2)2,0
102,102.0,102.0,102.0,102.0,102.0,153.0,Co2HgO4,0
103,103.0,103.0,103.0,103.0,103.0,59.0,Mn2CuO4,0
104,104.0,104.0,104.0,104.0,104.0,89.0,Fe2SiO4,0
105,105.0,105.0,105.0,105.0,105.0,273.0,Y2CdSe4,1
106,106.0,106.0,106.0,106.0,106.0,297.0,Mn2ZnSe4,0
107,107.0,107.0,107.0,107.0,107.0,200.0,Tb2MgS4,1
108,108.0,108.0,108.0,108.0,108.0,96.0,SrLu2O4,0
109,109.0,109.0,109.0,109.0,109.0,199.0,Ti2CuS4,0
110,110.0,110.0,110.0,110.0,110.0,185.0,Yb2MnS4,0
111,111.0,111.0,111.0,111.0,111.0,312.0,Mg(CrSe2)2,0
112,112.0,112.0,112.0,112.0,112.0,221.0,Cs(CrS2)2,0
113,113.0,113.0,113.0,113.0,113.0,134.0,Zn(IrO2)2,0
114,114.0,114.0,114.0,114.0,114.0,165.0,MnAl2O4,1
115,115.0,115.0,115.0,115.0,115.0,102.0,NaTi2O4,0
116,116.0,116.0,116.0,116.0,116.0,95.0,Fe2NiO4,0
117,117.0,117.0,117.0,117.0,117.0,308.0,Sm2MgSe4,1
118,118.0,118.0,118.0,118.0,118.0,126.0,Zn(RhO2)2,0
119,119.0,119.0,119.0,119.0,119.0,143.0,Al(NiO2)2,0
120,120.0,120.0,120.0,120.0,120.0,250.0,Pm2MgS4,1
121,121.0,121.0,121.0,121.0,121.0,86.0,Zn(CuO2)2,0
122,122.0,122.0,122.0,122.0,122.0,236.0,Fe(RhS2)2,0
123,123.0,123.0,123.0,123.0,123.0,157.0,Fe(NiO2)2,0
124,124.0,124.0,124.0,124.0,124.0,305.0,Yb2CdSe4,0
125,125.0,125.0,125.0,125.0,125.0,125.0,MgV2O4,0
126,126.0,126.0,126.0,126.0,126.0,183.0,Co2CuS4,0
127,127.0,127.0,127.0,127.0,127.0,204.0,Mg(CoS2)2,0
128,128.0,128.0,128.0,128.0,128.0,50.0,Cr2CdO4,0
129,129.0,129.0,129.0,129.0,129.0,192.0,Yb2CdS4,0
130,130.0,130.0,130.0,130.0,130.0,31.0,Ca(MoO2)2,1
131,131.0,131.0,131.0,131.0,131.0,255.0,Cr2HgS4,0
132,132.0,132.0,132.0,132.0,132.0,37.0,Co2SiO4,0
133,133.0,133.0,133.0,133.0,133.0,172.0,Sc2ZnS4,1
134,134.0,134.0,134.0,134.0,134.0,82.0,Mn2AlO4,0
135,135.0,135.0,135.0,135.0,135.0,141.0,Mg(WO2)2,1
136,136.0,136.0,136.0,136.0,136.0,285.0,La2MgSe4,1
137,137.0,137.0,137.0,137.0,137.0,16.0,Co2GeO4,0
138,138.0,138.0,138.0,138.0,138.0,138.0,Mg(AgO2)2,0
139,139.0,139.0,139.0,139.0,139.0,198.0,Mg(GaS2)2,0
140,140.0,140.0,140.0,140.0,140.0,17.0,Mg2GeO4,1
141,141.0,141.0,141.0,141.0,141.0,70.0,Zn(FeO2)2,1
142,142.0,142.0,142.0,142.0,142.0,279.0,Cd(InSe2)2,0
143,143.0,143.0,143.0,143.0,143.0,97.0,Zn(NiO2)2,0
144,144.0,144.0,144.0,144.0,144.0,233.0,Mg(AlS2)2,0
145,145.0,145.0,145.0,145.0,145.0,189.0,Cr2FeS4,0
146,146.0,146.0,146.0,146.0,146.0,194.0,Cr(InS2)2,0
147,147.0,147.0,147.0,147.0,147.0,57.0,AlCr2O4,0
148,148.0,148.0,148.0,148.0,148.0,52.0,Fe2HgO4,0
149,149.0,149.0,149.0,149.0,149.0,116.0,Ca(BiO2)2,0
150,150.0,150.0,150.0,150.0,150.0,85.0,V2SiO4,0
151,151.0,151.0,151.0,151.0,151.0,32.0,Al2CdO4,0
152,152.0,152.0,152.0,152.0,152.0,213.0,Lu2FeS4,0
153,153.0,153.0,153.0,153.0,153.0,210.0,Ca(VS2)2,0
154,154.0,154.0,154.0,154.0,154.0,80.0,Na(FeO2)2,0
155,155.0,155.0,155.0,155.0,155.0,129.0,SrSc2O4,0
156,156.0,156.0,156.0,156.0,156.0,300.0,Al2ZnSe4,0
157,157.0,157.0,157.0,157.0,157.0,60.0,Mn(FeO2)2,0
158,158.0,158.0,158.0,158.0,158.0,117.0,Zn2PdO4,0
159,159.0,159.0,159.0,159.0,159.0,186.0,Mg(InS2)2,0
160,160.0,160.0,160.0,160.0,160.0,281.0,Sc2ZnSe4,1
161,161.0,161.0,161.0,161.0,161.0,33.0,Cd(FeO2)2,0
162,162.0,162.0,162.0,162.0,162.0,196.0,In2CoS4,0
163,163.0,163.0,163.0,163.0,163.0,154.0,MgMn2O4,0
164,164.0,164.0,164.0,164.0,164.0,295.0,Cr2HgSe4,0
165,165.0,165.0,165.0,165.0,165.0,278.0,Nd2MgSe4,1
166,166.0,166.0,166.0,166.0,166.0,110.0,Ca(WO2)2,1
167,167.0,167.0,167.0,167.0,167.0,177.0,Dy2MgS4,1
168,168.0,168.0,168.0,168.0,168.0,181.0,Yb2FeS4,0
169,169.0,169.0,169.0,169.0,169.0,56.0,Al2CoO4,0
170,170.0,170.0,170.0,170.0,170.0,231.0,Mg(TiS2)2,0
171,171.0,171.0,171.0,171.0,171.0,248.0,Sc2MnS4,0
172,172.0,172.0,172.0,172.0,172.0,36.0,CdIn2O4,0
173,173.0,173.0,173.0,173.0,173.0,84.0,Al2CuO4,0
174,174.0,174.0,174.0,174.0,174.0,207.0,In2FeS4,0
175,175.0,175.0,175.0,175.0,175.0,294.0,Pm2MgSe4,1
176,176.0,176.0,176.0,176.0,176.0,306.0,Y2ZnSe4,1
177,177.0,177.0,177.0,177.0,177.0,0.0,NaMn2O4,0
178,178.0,178.0,178.0,178.0,178.0,223.0,Ho2CdS4,1
179,179.0,179.0,179.0,179.0,179.0,92.0,ZnCr2O4,0
180,180.0,180.0,180.0,180.0,180.0,283.0,Zn(InSe2)2,0
181,181.0,181.0,181.0,181.0,181.0,288.0,Al2HgSe4,0
182,182.0,182.0,182.0,182.0,182.0,139.0,Al2FeO4,0
183,183.0,183.0,183.0,183.0,183.0,10.0,Ca(SnO2)2,0
184,184.0,184.0,184.0,184.0,184.0,140.0,Ca(AgO2)2,0
185,185.0,185.0,185.0,185.0,185.0,167.0,Mg(MnS2)2,0
186,186.0,186.0,186.0,186.0,186.0,67.0,Mg(BiO2)2,0
187,187.0,187.0,187.0,187.0,187.0,121.0,Cu(RhO2)2,0
188,188.0,188.0,188.0,188.0,188.0,260.0,Y2ZnS4,1
189,189.0,189.0,189.0,189.0,189.0,272.0,Ca2SnS4,1
190,190.0,190.0,190.0,190.0,190.0,53.0,AlV2O4,0
191,191.0,191.0,191.0,191.0,191.0,211.0,Y2MgS4,1
192,192.0,192.0,192.0,192.0,192.0,247.0,Sm2MgS4,1
193,193.0,193.0,193.0,193.0,193.0,234.0,Co(NiS2)2,0
194,194.0,194.0,194.0,194.0,194.0,182.0,In2HgS4,0
195,195.0,195.0,195.0,195.0,195.0,206.0,Li(TiS2)2,0
196,196.0,196.0,196.0,196.0,196.0,42.0,Ca(CoO2)2,0
197,197.0,197.0,197.0,197.0,197.0,173.0,Ca(CrS2)2,0
198,198.0,198.0,198.0,198.0,198.0,136.0,Li(NiO2)2,0
199,199.0,199.0,199.0,199.0,199.0,46.0,Y(FeO2)2,0
200,200.0,200.0,200.0,200.0,200.0,307.0,Cr2CdSe4,0
201,201.0,201.0,201.0,201.0,201.0,6.0,LiTi2O4,0
202,202.0,202.0,202.0,202.0,202.0,75.0,Mg(FeO2)2,1
203,203.0,203.0,203.0,203.0,203.0,26.0,CaTb2O4,0
204,204.0,204.0,204.0,204.0,204.0,195.0,Cr2AgS4,0
205,205.0,205.0,205.0,205.0,205.0,284.0,Tb2MgSe4,1
206,206.0,206.0,206.0,206.0,206.0,155.0,Ga2CuO4,0
207,207.0,207.0,207.0,207.0,207.0,14.0,Cr2NiO4,0
208,208.0,208.0,208.0,208.0,208.0,216.0,In2NiS4,0
209,209.0,209.0,209.0,209.0,209.0,145.0,Fe2CuO4,0
210,210.0,210.0,210.0,210.0,210.0,215.0,Zn(FeS2)2,0
211,211.0,211.0,211.0,211.0,211.0,148.0,Zn(WO2)2,1
212,212.0,212.0,212.0,212.0,212.0,280.0,Ho2MgSe4,1
213,213.0,213.0,213.0,213.0,213.0,209.0,Ni(RhS2)2,0
214,214.0,214.0,214.0,214.0,214.0,232.0,Li(FeS2)2,0
215,215.0,215.0,215.0,215.0,215.0,180.0,In2CuS4,0
216,216.0,216.0,216.0,216.0,216.0,25.0,LiMn2O4,0
217,217.0,217.0,217.0,217.0,217.0,264.0,Cu(IrS2)2,0
218,218.0,218.0,218.0,218.0,218.0,161.0,Ni2GeO4,1
219,219.0,219.0,219.0,219.0,219.0,106.0,V2ZnO4,0
220,220.0,220.0,220.0,220.0,,,Ba(NdS2)2,1
221,221.0,221.0,221.0,221.0,,,Na2WS4,1
222,222.0,222.0,222.0,222.0,,,Ba(NdSe2)2,1
223,223.0,223.0,223.0,223.0,,,Ba(LuS2)2,1
224,224.0,224.0,224.0,224.0,,,Na2WSe4,1
225,225.0,225.0,225.0,225.0,,,Be(GaO2)2,1
226,226.0,226.0,226.0,226.0,,,Lu2ZnS4,1
227,227.0,227.0,227.0,227.0,,,BeAl2O4,1
228,228.0,228.0,228.0,,,,Lu2BeS4,1
229,229.0,229.0,229.0,,,,Lu2WO4,1
230,230.0,230.0,230.0,,,,Ca(LuS2)2,1
231,231.0,231.0,231.0,,,,Nd2GaO4,1
232,232.0,232.0,232.0,,,,Mg2GeS4,1
233,233.0,233.0,,,,,Zn2GeO4,1
234,234.0,234.0,,,,,Cd2GeO4,1
235,235.0,235.0,,,,,Cd2GeS4,1
236,236.0,236.0,,,,,Ca(AlSe2)2,1
237,237.0,237.0,,,,,Ag2WSe4,1
238,238.0,238.0,,,,,Ca(GaSe2)2,1
239,239.0,,,,,,Cd2MoO4,1
240,240.0,,,,,,CaAl2O4,1
241,241.0,,,,,,Ca(GaS2)2,1
242,242.0,,,,,,BeIn2O4,1
243,243.0,,,,,,Ca(AlS2)2,1
244,244.0,,,,,,Ca(GaO2)2,1
245,,,,,,,Ga2SnO4,1
246,,,,,,,Ca(InSe2)2,1
247,,,,,,,Ba(GaO2)2,1
