iter	Logloss
152	0.3715137504
153	0.3704249006
154	0.3695604533
155	0.3686549243
156	0.3677800813
157	0.3666625519
158	0.3657221615
159	0.3646767955
160	0.3635304767
161	0.3628335264
162	0.3619313407
163	0.3609453589
164	0.360073746
165	0.3589541887
166	0.3582080423
167	0.3573090241
168	0.3568087365
169	0.3559826868
170	0.3553254146
171	0.3545163094
172	0.3538350949
173	0.3532227677
174	0.3524088361
175	0.3517473949
176	0.3510017377
177	0.3506334992
178	0.3498696022
179	0.3491210474
180	0.3481648547
181	0.3476829113
182	0.3470279481
183	0.3459938924
184	0.3450287837
185	0.3442040928
186	0.3432998247
187	0.3427934584
188	0.3420381901
189	0.3414112465
190	0.3408315759
191	0.340023502
192	0.3393064097
193	0.3385828775
194	0.3373584479
195	0.3368361174
196	0.3361263166
197	0.3353528344
198	0.3345277206
199	0.3340379917
200	0.3334554998
201	0.3331357541
202	0.3323003665
203	0.3318703581
204	0.3310987916
205	0.3306385717
206	0.3301041748
207	0.329295633
208	0.3285746536
209	0.3281280023
210	0.3274608678
211	0.3270136453
212	0.3264447659
213	0.3258645026
214	0.3252852095
215	0.3248212178
216	0.324360774
217	0.32355559
218	0.3230484939
219	0.3223631198
220	0.3217332701
221	0.3212643777
222	0.3206489859
223	0.3200227519
224	0.3194314642
225	0.3189437329
226	0.3182530381
227	0.317612884
228	0.3167469027
229	0.3161797793
230	0.3155762751
231	0.3151538753
232	0.3144405753
233	0.3138142093
234	0.3132508478
235	0.312724651
236	0.3120638419
237	0.3115596057
238	0.311003337
239	0.3104760188
240	0.3101177984
241	0.3095299346
242	0.3089422211
243	0.3083146453
244	0.3077837505
245	0.3072138178
246	0.3064018665
247	0.3059098765
248	0.3055597374
249	0.3050477927
250	0.3049252237
251	0.3044255119
252	0.3040026613
253	0.3033261501
254	0.3027759218
255	0.3022240445
256	0.3018509517
257	0.3013617144
258	0.3008009243
259	0.3003955333
260	0.2998276533
261	0.2992258474
262	0.2988841306
263	0.2983260922
264	0.2976712804
265	0.297478344
266	0.2970585784
267	0.2966711592
268	0.2962713437
269	0.2956569489
270	0.2953203065
271	0.2946136532
272	0.2942894631
273	0.2938936881
274	0.2934217267
275	0.292938535
276	0.2924520321
277	0.291939675
278	0.291547935
279	0.2910300446
280	0.2906349613
281	0.290178624
282	0.2898034256
283	0.2895286652
284	0.2891265546
285	0.2885982683
286	0.2879960516
287	0.2872906917
288	0.2869411343
289	0.2864227464
290	0.2857056746
291	0.2852946819
292	0.2849464152
293	0.2845271227
294	0.2842311497
295	0.283896172
296	0.283409759
297	0.2829745117
298	0.2825171355
299	0.2823046002
300	0.2818277476
301	0.2815833134
302	0.2812167396
303	0.2808092576
304	0.2801649306
305	0.2798681799
306	0.2795147845
307	0.2791758183
308	0.2787125237
309	0.2781835995
310	0.2777577689
311	0.2773165349
312	0.2768930328
313	0.2764915713
314	0.2762983758
315	0.275995869
316	0.27575534
317	0.2753174376
318	0.2750263349
319	0.2743874162
320	0.2740477147
321	0.273539785
322	0.2733098536
323	0.2729240332
324	0.2725069541
325	0.2722291101
326	0.2718836123
327	0.2714845459
328	0.2710847134
329	0.2705666717
330	0.2700651841
331	0.2696091578
332	0.2692259275
333	0.2687998173
334	0.2682527089
335	0.2679072649
336	0.267661035
337	0.2672102665
338	0.2667419833
339	0.2662413357
340	0.2658628783
341	0.2653801189
342	0.2648003914
343	0.2645473228
344	0.2643247104
345	0.2640366981
346	0.2637924906
347	0.2635082556
348	0.263049125
349	0.2626480212
350	0.2622883312
351	0.2616666182
352	0.2614052681
353	0.2610829666
354	0.2607798392
355	0.2602169259
356	0.2600045813
357	0.2594923812
358	0.2592013014
359	0.2586902285
360	0.258382935
361	0.2579922936
362	0.257546631
363	0.2570820127
364	0.2566495235
365	0.2563562336
366	0.25583902
367	0.2555557184
368	0.2549906476
369	0.2547113055
370	0.2543713928
371	0.2540485714
372	0.2537487103
373	0.253366591
374	0.2530772853
375	0.2527137869
376	0.252523115
377	0.2521040153
378	0.2516617638
379	0.2515070689
380	0.2511395767
381	0.2508936496
382	0.250503769
383	0.2501067615
384	0.2498535782
385	0.249521455
386	0.249230047
387	0.2491332745
388	0.2486708403
389	0.2483269407
390	0.2479633629
391	0.2476462149
392	0.2473463463
393	0.2470912498
394	0.2468705536
395	0.2466887941
396	0.2464984142
397	0.2460466946
398	0.2458730727
399	0.2457081699
400	0.2453012219
401	0.2449449276
402	0.2446556237
403	0.2443755665
404	0.2440512246
405	0.2438156016
406	0.2435839401
407	0.2433268921
408	0.2431771429
409	0.242732507
410	0.2424234215
411	0.2421729815
412	0.2419307325
413	0.2414531096
414	0.2412499307
415	0.2410817769
416	0.2407875718
417	0.2405049952
418	0.2403626948
419	0.2398981978
420	0.2397395115
421	0.2393448064
422	0.2391208067
423	0.2389377212
424	0.238799684
425	0.2386094187
426	0.2383652991
427	0.2380607605
428	0.2378564273
429	0.237620933
430	0.2374059256
431	0.2370571554
432	0.2369189463
433	0.2367723691
434	0.236538259
435	0.2362483075
436	0.2361140729
437	0.2359647085
438	0.2358072685
439	0.2355587954
440	0.2352932432
441	0.2350293539
442	0.23487359
443	0.2345789786
444	0.2343561436
445	0.234030345
446	0.2338078468
447	0.2336643487
448	0.2333618845
449	0.2331539218
450	0.2327450457
451	0.2324063685
452	0.2322531241
453	0.2319573528
454	0.2317379797
455	0.2315881154
456	0.2312860281
457	0.2311309091
458	0.2308601967
459	0.2304550017
460	0.2301967372
461	0.2299540981
462	0.229753592
463	0.2295875895
464	0.229221374
465	0.2288053219
466	0.2284976876
467	0.2283191665
468	0.227972357
469	0.2276374049
470	0.2274500385
471	0.2273009859
472	0.2269448476
473	0.2267439638
474	0.226475374
475	0.2262875221
476	0.2260309278
477	0.2258285918
478	0.2256359749
479	0.2254133319
480	0.2251222511
481	0.2249319596
482	0.2246819398
483	0.2244183526
484	0.2241818519
485	0.223927407
486	0.2237415826
487	0.2235255443
488	0.2233446775
489	0.2231491053
490	0.2228884196
491	0.2226988362
492	0.2224675585
493	0.2223125943
494	0.2220953426
495	0.221963409
496	0.2217175215
497	0.2215666232
498	0.2212266331
499	0.2210565339
500	0.2208194907
501	0.2204515228
502	0.2201665802
503	0.2199482265
504	0.2195995931
505	0.2193204783
506	0.2192378927
507	0.2190044511
508	0.2188185943
509	0.2186054626
510	0.2184511161
511	0.218260632
512	0.2181184793
513	0.2178274278
514	0.2175189469
515	0.2171656559
516	0.2168798185
517	0.2166257016
518	0.2163790019
519	0.2161997743
520	0.2159470881
521	0.2157600564
522	0.215627859
523	0.215314409
524	0.2152109203
525	0.2149301054
526	0.2147098805
527	0.2146543761
528	0.2144213369
529	0.2142102261
530	0.2140237453
531	0.2137597776
532	0.2134970668
533	0.2132525511
534	0.2129328311
535	0.2127153859
536	0.2126131951
537	0.2123954308
538	0.2122516387
539	0.2119280025
540	0.2115807019
541	0.2114811082
542	0.2113363531
543	0.2110341688
544	0.2108633412
545	0.2106821681
546	0.2104230175
547	0.2101930501
548	0.2100750575
549	0.2099078681
550	0.2097610613
551	0.2095287665
552	0.2093597744
553	0.2090341385
554	0.2087087942
555	0.2084891902
556	0.208335732
557	0.2080728817
558	0.2079866243
559	0.2078273103
560	0.2076973446
561	0.2074413488
562	0.2073188466
563	0.2070781733
564	0.2067503066
565	0.2065247519
566	0.2063545853
567	0.2061631498
568	0.2058702636
569	0.2057713524
570	0.2055939896
571	0.2053869171
572	0.2050120708
573	0.2048459965
574	0.2046107806
575	0.2042567331
576	0.2041762866
577	0.2039529954
578	0.2038369252
579	0.2036918459
580	0.2034125947
581	0.203138843
582	0.2029000851
583	0.2026595823
584	0.2025050313
585	0.2022378707
586	0.2020194389
587	0.2018621342
588	0.2016464949
589	0.201449664
590	0.2012866965
591	0.2009022128
592	0.2006969658
593	0.2005050183
594	0.2003227822
595	0.2001977785
596	0.2000226979
597	0.1998143113
598	0.1995937802
599	0.1993910885
600	0.1992826179
601	0.1989756711
602	0.1987985194
603	0.1986374903
604	0.1985082646
605	0.1983323814
606	0.1980708187
607	0.1979031043
608	0.19783771
609	0.1976272241
610	0.1973398966
611	0.1971758661
612	0.1970369189
613	0.1969379419
614	0.1967707841
615	0.1966491636
616	0.1965184832
617	0.1962616188
618	0.196123247
619	0.1959648667
620	0.1957532957
621	0.1955998708
622	0.1954847572
623	0.1953404283
624	0.1950968241
625	0.195006225
626	0.1947588795
627	0.1945890737
628	0.1942890458
629	0.1941090863
630	0.1939539668
631	0.1937927182
632	0.1934983783
633	0.1932889465
634	0.1929915626
635	0.1928178646
636	0.1926270878
637	0.192519693
638	0.1923386308
639	0.1921466946
640	0.1919985693
641	0.1918780039
642	0.191728297
643	0.1914707769
644	0.1913346876
645	0.1910834515
646	0.1909816418
647	0.1909069377
648	0.1907414895
649	0.1905186486
650	0.1902955807
651	0.1900897696
652	0.1899467682
653	0.1897837999
654	0.1896247349
655	0.1895044903
656	0.1893026943
657	0.1891054071
658	0.1889600312
659	0.1888065822
660	0.1886063891
661	0.1885758658
662	0.1884522879
663	0.1882889784
664	0.1882080145
665	0.1880269163
666	0.1879204513
667	0.1877685387
668	0.1876635113
669	0.1875557054
670	0.1874095431
671	0.1872199661
672	0.1870877325
673	0.1868691901
674	0.1867187802
675	0.1865415302
676	0.1865256791
677	0.1862502103
678	0.186156761
679	0.1860226586
680	0.1859180334
681	0.1857468482
682	0.1856682929
683	0.1855692593
684	0.1854549417
685	0.1853301642
686	0.18521199
687	0.1850696277
688	0.1849115252
689	0.1848048623
690	0.1846483957
691	0.1844542083
692	0.184326139
693	0.1841633549
694	0.1840268785
695	0.1837633876
696	0.1835977803
697	0.1834445031
698	0.1832384758
699	0.1830408785
700	0.1828729235
701	0.1827149733
702	0.182572291
703	0.1825187503
704	0.1823204067
705	0.1821728532
706	0.1820059221
707	0.1818421665
708	0.1817130954
709	0.1815164131
710	0.1813228364
711	0.1811591609
712	0.1809778112
713	0.1807006497
714	0.180460658
715	0.1802798403
716	0.1800932191
717	0.1799697303
718	0.1797289769
719	0.1796457536
720	0.1795415363
721	0.1793086796
722	0.1791643483
723	0.1789971712
724	0.1788250757
725	0.1786919236
726	0.1786353182
727	0.1784536641
728	0.1783112674
729	0.1781532021
730	0.1780334616
731	0.1779395234
732	0.1777823044
733	0.1776245684
734	0.1773064398
735	0.1770882514
736	0.1769651338
737	0.1767169189
738	0.1764695636
739	0.176309931
740	0.1762106374
741	0.1760145864
742	0.1759080207
743	0.175709824
744	0.175477444
745	0.1753356956
746	0.1751951259
747	0.1751435431
748	0.1749349426
749	0.1748530887
750	0.1746506781
751	0.1745231123
752	0.1744263747
753	0.1742180821
754	0.1740164456
755	0.1738218228
756	0.1735943196
757	0.1734566852
758	0.1733219051
759	0.1732075691
760	0.1731408269
761	0.1730118546
762	0.1728846763
763	0.1727821109
764	0.1726005051
765	0.172416794
766	0.1722955882
767	0.1722187516
768	0.1721023978
769	0.1718329306
770	0.1716799147
771	0.1715143229
772	0.1714872
773	0.1713985034
774	0.1712267937
775	0.1710539785
776	0.1709052365
777	0.1707166011
778	0.1705499288
779	0.1704631116
780	0.1702735209
781	0.1702124651
782	0.169968272
783	0.1698769081
784	0.1695884284
785	0.1694737169
786	0.1693447131
787	0.1691796373
788	0.1690787856
789	0.1688941986
790	0.1685995808
791	0.1684209478
792	0.1681798713
793	0.1680222641
794	0.167936308
795	0.1678430116
796	0.1676772989
797	0.1676585124
798	0.1675160665
799	0.1674140129
800	0.1672664006
801	0.1670115012
802	0.1668159458
803	0.1666815902
804	0.1665407458
805	0.1664092209
806	0.166225524
807	0.1660766466
808	0.1659373294
809	0.1657774068
810	0.1656454902
811	0.1655704981
812	0.165551015
813	0.1653529328
814	0.1652304056
815	0.1650495997
816	0.1649050567
817	0.1648048791
818	0.1646467793
819	0.1644420613
820	0.1642263333
821	0.1640989102
822	0.1639807585
823	0.1638761824
824	0.163692238
825	0.1634710218
826	0.1634058953
827	0.1632330873
828	0.1631052236
829	0.1629121516
830	0.1628446754
831	0.1627476186
832	0.1626333899
833	0.1625431752
834	0.1624221855
835	0.1623320824
836	0.1621740745
837	0.1620517559
838	0.1619242561
839	0.161785745
840	0.1617158496
841	0.1616370541
842	0.1614064395
843	0.1612648621
844	0.1611120472
845	0.1609701451
846	0.1608987492
847	0.1607218653
848	0.1606183611
849	0.1604374469
850	0.1602975256
851	0.1601561458
852	0.1600164688
853	0.1598925629
854	0.1596674144
855	0.1594710376
856	0.1593543562
857	0.1592258423
858	0.1591047318
859	0.1588972654
860	0.1588455707
861	0.1587687347
862	0.1587311878
863	0.1585393825
864	0.1582975518
865	0.1581838999
866	0.1580871021
867	0.1580064054
868	0.1578095384
869	0.1576784615
870	0.1575806499
871	0.1574408998
872	0.1572600068
873	0.1571075722
874	0.1570155597
875	0.1569344482
876	0.1568320601
877	0.1566561375
878	0.156519715
879	0.1563604014
880	0.1562621703
881	0.1561801529
882	0.1560582427
883	0.1558963784
884	0.1558071451
885	0.1556132822
886	0.1554133379
887	0.155306612
888	0.155149407
889	0.1549654461
890	0.1548870408
891	0.1547580234
892	0.1545795728
893	0.1544647475
894	0.1542657325
895	0.154157703
896	0.1540527553
897	0.1539112234
898	0.1537403969
899	0.1536241052
900	0.1535973805
901	0.1535266225
902	0.1532916311
903	0.1532614799
904	0.1530950668
905	0.1529697556
906	0.1528466522
907	0.1527557938
908	0.1526510195
909	0.1525691575
910	0.1523862131
911	0.1522250812
912	0.1521557074
913	0.1520305465
914	0.151900335
915	0.1518007605
916	0.15172014
917	0.1516462628
918	0.1514391913
919	0.1513009724
920	0.1511662987
921	0.1510455472
922	0.1509192918
923	0.1508246352
924	0.1507163053
925	0.1505926183
926	0.150522608
927	0.1504531393
928	0.1503425166
929	0.1502581047
930	0.1501736115
931	0.1500046763
932	0.1499123165
933	0.1498561286
934	0.1497802334
935	0.1495460219
936	0.1494719997
937	0.1494183436
938	0.1492374404
939	0.1490217044
940	0.1489340666
941	0.148824835
942	0.1487695529
943	0.1486741981
944	0.1484885668
945	0.1483768445
946	0.1482961881
947	0.1481625353
948	0.1480052773
949	0.1479021408
950	0.1477196981
951	0.1476507106
952	0.1475686409
953	0.1474890195
954	0.1473934065
955	0.1473471523
956	0.1472552591
957	0.1471330022
958	0.1469869542
959	0.1469234785
960	0.1468423869
961	0.1466265334
962	0.1464787346
963	0.146375327
964	0.1462713411
965	0.1461285615
966	0.1460266325
967	0.1459428624
968	0.1458940847
969	0.1457593526
970	0.145602057
971	0.1455066902
972	0.14542378
973	0.145269169
974	0.1450574558
975	0.1449751453
976	0.1448916287
977	0.1446660002
978	0.144576168
979	0.1444300034
980	0.1443318989
981	0.1442067471
982	0.1440802821
983	0.1439169132
984	0.1437157844
985	0.1436257678
986	0.1435040034
987	0.1433567681
988	0.1432443428
989	0.1431428109
990	0.1430776137
991	0.1429657496
992	0.1428592871
993	0.1427114313
994	0.142586361
995	0.1424552121
996	0.1422632181
997	0.1421765678
998	0.1419760324
999	0.1418973923
